                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.4473,                 2.0955,                 1.6301,                 0.7778,                0.30092,                  0.333,                0.23259,                 2.6139,                 2.1627,                 2.6552,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.4482,                 2.1006,                 1.6378,                0.66812,                0.31567,                0.31649,                0.21807,                 2.5707,                 2.2826,                 2.5692,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.4275,                 2.0647,                 1.6159,                0.64787,                0.32598,                0.32976,                0.23066,                 2.5045,                 2.2533,                  2.529,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.4395,                 2.0262,                 1.6107,                0.63473,                0.31551,                0.33028,                0.23338,                 2.5549,                 2.2699,                 2.6196,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.4298,                 2.0244,                 1.6041,                 0.7974,                 0.3001,                0.33207,                0.23431,                 2.5685,                 2.1985,                 2.5862,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.4263,                 2.0484,                  1.617,                0.70424,                0.31728,                0.33198,                0.23534,                 2.4897,                 2.1599,                  2.539,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.4178,                 2.0167,                 1.6066,                0.68329,                0.31431,                0.30369,                0.21089,                 2.5272,                 2.4914,                  2.581,             0.00066506,             0.00066506,             0.00066506
                     56,                  1.428,                 2.0481,                 1.6201,                0.75837,                 0.3162,                0.34208,                0.24175,                 2.5093,                 2.1795,                 2.5299,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.3892,                 1.9476,                 1.5772,                0.64514,                0.32217,                0.33542,                0.23593,                 2.4991,                 2.2724,                 2.5583,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3963,                 1.9997,                 1.6015,                0.70069,                 0.3215,                0.32923,                 0.2327,                 2.5249,                 2.2435,                 2.5932,             0.00062262,             0.00062262,             0.00062262
