                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.6528,                  1.871,                  1.732,                0.88879,                0.47721,                0.55742,                 0.3798,                 1.9902,                 2.1138,                 2.0169,             0.00018582,             0.00018582,             0.00018582
                     58,                 1.6241,                 1.8495,                 1.7212,                0.84964,                0.48898,                 0.5591,                 0.3796,                 1.9837,                 2.1098,                 1.9903,             0.00018169,             0.00018169,             0.00018169
                     59,                 1.6545,                 1.8324,                 1.7064,                 0.8534,                0.48724,                0.56962,                0.38088,                 1.9666,                 2.0509,                 1.9963,             0.00017756,             0.00017756,             0.00017756
                     60,                 1.6093,                 1.7814,                 1.6809,                  0.849,                 0.4841,                 0.5442,                0.37759,                  2.066,                 2.1579,                 2.1115,             0.00017343,             0.00017343,             0.00017343
                     61,                 1.6153,                 1.8498,                 1.7167,                0.86977,                0.47885,                0.55811,                 0.3847,                 1.9951,                 2.0831,                 2.0196,              0.0001693,              0.0001693,              0.0001693
                     62,                 1.6224,                 1.8276,                 1.6992,                0.86253,                0.49777,                 0.5642,                0.38637,                 2.0293,                 2.0515,                 2.0618,             0.00016517,             0.00016517,             0.00016517
                     63,                 1.5682,                 1.7086,                 1.6453,                0.85101,                0.49373,                0.55778,                0.38651,                 2.0151,                 2.1041,                 2.0324,             0.00016105,             0.00016105,             0.00016105
                     64,                 1.5945,                 1.7619,                 1.6749,                0.85796,                0.50174,                 0.5783,                0.39791,                  1.947,                 2.0033,                   1.99,             0.00015692,             0.00015692,             0.00015692
                     65,                 1.5814,                 1.7698,                 1.6702,                0.85209,                0.48213,                 0.5461,                0.37663,                 1.9854,                 2.1507,                 2.0277,             0.00015279,             0.00015279,             0.00015279
                     66,                 1.5782,                 1.7578,                 1.6566,                0.90861,                0.46734,                 0.5323,                0.37665,                 2.0705,                 2.1993,                 2.1393,             0.00014866,             0.00014866,             0.00014866
                     67,                 1.5596,                 1.7331,                 1.6408,                0.88371,                0.47406,                0.54097,                0.37827,                 2.0578,                 2.1341,                 2.1145,             0.00014453,             0.00014453,             0.00014453
                     68,                 1.5757,                 1.7547,                 1.6545,                0.89732,                0.47793,                0.54725,                0.38479,                 2.0221,                 2.1297,                 2.0768,              0.0001404,              0.0001404,              0.0001404
                     69,                 1.5261,                 1.6819,                 1.6203,                0.90848,                0.48316,                0.55534,                  0.387,                 2.0251,                 2.0664,                 2.0843,             0.00013628,             0.00013628,             0.00013628
                     70,                 1.5518,                 1.7868,                 1.6564,                0.87339,                0.50217,                0.57228,                0.39316,                 1.9981,                 2.0182,                 2.0126,             0.00013215,             0.00013215,             0.00013215
                     71,                  1.548,                 1.7337,                 1.6449,                0.88726,                0.48217,                0.55838,                0.38292,                 1.9659,                 2.1076,                 2.0259,             0.00012802,             0.00012802,             0.00012802
                     72,                 1.5395,                 1.6756,                 1.6282,                0.86375,                0.49102,                0.55129,                0.38467,                 2.0115,                 2.1311,                 2.0558,             0.00012389,             0.00012389,             0.00012389
                     73,                 1.5434,                   1.74,                 1.6449,                0.87263,                0.48937,                0.55932,                0.38667,                 2.0389,                 2.0799,                 2.0871,             0.00011976,             0.00011976,             0.00011976
                     74,                 1.5534,                 1.7029,                 1.6366,                0.89714,                 0.4756,                0.53912,                0.37521,                 2.0544,                 2.1568,                 2.1044,             0.00011563,             0.00011563,             0.00011563
                     75,                 1.5106,                  1.665,                 1.6102,                0.89591,                0.49205,                0.56636,                0.39557,                 1.9851,                 2.0431,                 2.0129,             0.00011151,             0.00011151,             0.00011151
                     76,                 1.5404,                 1.7061,                 1.6391,                0.87344,                0.47191,                0.52415,                 0.3729,                  2.125,                 2.1989,                 2.1768,             0.00010738,             0.00010738,             0.00010738
                     77,                 1.5332,                   1.72,                 1.6296,                0.88072,                0.47267,                0.53393,                0.38164,                 2.0841,                 2.1804,                 2.1429,             0.00010325,             0.00010325,             0.00010325
