                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.6827,                 1.6743,                 1.5078,                0.84568,                 0.5176,                0.63841,                0.43638,                 1.3717,                 1.4012,                 1.3865,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.6033,                 1.6086,                 1.4846,                0.80842,                0.52516,                0.64146,                0.44078,                  1.368,                 1.3499,                 1.3847,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.5932,                  1.579,                 1.4568,                0.82965,                0.53227,                0.65217,                0.44696,                 1.3569,                 1.3499,                 1.3798,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.6583,                 1.6649,                 1.5112,                0.82488,                0.53877,                0.64891,                 0.4468,                 1.3588,                 1.3364,                 1.3732,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.6123,                 1.5849,                 1.4702,                0.82394,                0.55297,                0.65796,                0.43625,                 1.4194,                 1.3337,                 1.3918,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.6374,                 1.6153,                 1.4846,                0.82422,                0.55362,                0.67407,                0.46452,                 1.3195,                 1.3212,                 1.3505,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.5932,                 1.5546,                 1.4466,                0.83797,                0.56491,                0.67791,                0.46486,                 1.3355,                 1.3089,                 1.3499,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.6629,                 1.6532,                 1.5055,                0.82935,                0.56561,                0.68442,                0.47668,                 1.2977,                 1.2709,                 1.3371,               0.000467,               0.000467,               0.000467
                     70,                 1.6081,                 1.5512,                 1.4402,                0.85263,                0.54341,                0.67862,                0.46737,                 1.3355,                 1.2863,                 1.3528,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.5466,                 1.5198,                 1.4295,                0.84853,                 0.5768,                0.69627,                 0.4869,                 1.2754,                 1.2521,                 1.3261,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.5922,                 1.5585,                 1.4542,                0.85347,                0.56103,                0.68543,                0.46821,                 1.3383,                 1.2935,                 1.3512,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.5849,                 1.5448,                 1.4445,                0.85451,                0.57928,                0.69857,                0.48476,                 1.2956,                 1.2468,                 1.3289,             0.00041041,             0.00041041,             0.00041041
                     74,                  1.557,                 1.4779,                 1.4116,                0.82434,                0.59375,                0.70479,                0.48859,                 1.3052,                 1.2433,                 1.3376,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.5685,                 1.5383,                 1.4515,                0.86029,                0.60414,                 0.7181,                0.50475,                 1.2648,                 1.2024,                 1.3031,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.5013,                  1.455,                 1.4041,                0.86691,                0.59347,                0.72059,                0.50469,                 1.2647,                 1.1798,                  1.306,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.5594,                 1.4845,                 1.4142,                 0.8663,                0.59371,                0.72081,                0.50602,                 1.2487,                 1.1837,                    1.3,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.5189,                 1.4532,                  1.403,                 0.8543,                0.59498,                0.71766,                0.49868,                 1.2816,                 1.1882,                 1.3194,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.5588,                 1.5038,                 1.4261,                0.85486,                0.60169,                0.72174,                0.50684,                 1.2403,                 1.1827,                 1.2941,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.5443,                 1.5038,                 1.4203,                0.86805,                0.61567,                0.73711,                0.51976,                 1.2315,                 1.1475,                 1.2939,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.5131,                 1.4632,                 1.3996,                0.87297,                0.59912,                0.72876,                0.51842,                 1.2312,                 1.1464,                 1.2825,             0.00029723,             0.00029723,             0.00029723
                     82,                  1.526,                 1.4719,                 1.4139,                  0.861,                 0.6189,                0.73557,                0.52591,                 1.2131,                 1.1564,                  1.275,             0.00028308,             0.00028308,             0.00028308
