                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.6074,                 1.4371,                 1.4226,                0.87209,                0.50976,                 0.5626,                0.39321,                 2.0052,                 1.7487,                 1.7579,             0.00010738,             0.00010738,             0.00010738
                     77,                 1.6348,                   1.46,                 1.4446,                 0.8823,                0.51137,                0.57435,                0.40175,                 1.9745,                 1.7101,                 1.7412,             0.00010325,             0.00010325,             0.00010325
                     78,                  1.614,                 1.4499,                 1.4337,                0.90265,                0.51152,                 0.5798,                0.40082,                 1.9341,                 1.6986,                 1.7061,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                 1.6097,                 1.4423,                 1.4371,                0.90561,                0.49772,                0.56179,                0.39249,                  1.975,                 1.7579,                 1.7415,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                 1.6207,                 1.4469,                 1.4406,                0.90401,                0.50392,                0.56988,                0.40369,                 1.9615,                 1.7345,                 1.7333,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                 1.5841,                 1.3736,                  1.389,                0.89076,                0.49656,                0.55514,                0.39321,                 1.9847,                 1.7885,                 1.7561,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                  1.596,                 1.3991,                 1.4131,                0.88718,                0.50127,                0.56158,                0.39815,                  1.987,                 1.7594,                 1.7614,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                 1.6277,                 1.4414,                 1.4156,                0.86378,                0.51454,                0.56708,                0.40094,                 1.9713,                  1.742,                 1.7378,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                 1.6223,                 1.4367,                 1.4333,                0.86699,                0.51809,                 0.5762,                0.39822,                 1.9228,                 1.7045,                 1.6862,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                 1.5915,                 1.4301,                 1.4351,                 0.8791,                 0.5081,                0.56127,                0.39652,                 1.9597,                 1.7578,                 1.7269,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                 1.5963,                 1.4387,                 1.4408,                0.88713,                0.50691,                0.56458,                0.39692,                 1.9773,                 1.7499,                 1.7496,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                 1.6046,                 1.4264,                 1.4093,                0.86961,                0.51791,                0.57418,                0.40543,                  1.937,                  1.719,                  1.712,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                 1.5885,                 1.4138,                 1.4082,                0.87184,                 0.5159,                0.56818,                0.40131,                 1.9482,                 1.7291,                 1.7155,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                 1.5792,                 1.3955,                 1.4012,                0.87756,                0.50558,                0.56055,                0.39973,                 1.9946,                 1.7695,                 1.7612,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                 1.5555,                  1.394,                 1.4059,                0.86675,                0.51527,                0.56703,                 0.4023,                 1.9602,                 1.7382,                 1.7295,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                 1.6813,                 1.5497,                 1.5234,                0.87895,                  0.507,                0.55856,                 0.3877,                 2.0626,                  1.787,                 1.8362,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                 1.5807,                 1.4326,                 1.4768,                0.87513,                0.50982,                0.56182,                0.39209,                  2.013,                 1.7696,                 1.8063,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                 1.5587,                   1.43,                 1.4723,                0.88909,                0.50099,                0.55579,                0.39142,                 2.0239,                 1.7859,                 1.8172,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                 1.5339,                  1.401,                  1.436,                0.89159,                0.50368,                0.56108,                0.39555,                 1.9822,                 1.7603,                 1.7694,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                 1.4784,                 1.3618,                 1.4238,                0.88795,                0.50758,                0.56829,                0.40066,                 1.9547,                 1.7253,                 1.7315,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                 1.5126,                 1.3817,                 1.4318,                0.88602,                0.50464,                0.55827,                0.39403,                 1.9794,                 1.7546,                   1.75,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                 1.4944,                 1.3492,                  1.412,                0.89104,                0.50391,                0.55711,                0.39501,                 1.9914,                  1.765,                 1.7603,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                 1.4954,                 1.3702,                 1.4247,                0.89967,                0.50308,                0.55768,                0.39546,                 1.9887,                 1.7594,                 1.7582,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                 1.4895,                 1.3624,                 1.4252,                0.89986,                0.50292,                0.55906,                0.39545,                 1.9833,                 1.7575,                 1.7539,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                 1.4777,                 1.3518,                 1.4092,                0.90171,                0.50246,                0.55924,                 0.3961,                 1.9798,                 1.7486,                 1.7508,             8.2983e-06,             8.2983e-06,             8.2983e-06
